cycle,state,dem_poll_avg,dem_poll_avg_margin,incumbent_party,incumbent_running,party_winner
2004,Mississippi,37.824067,-16.426849000000004,republican,1,republican
2004,Missouri,45.337555,-5.898392999999999,republican,1,republican
2004,Montana,33.714633,-23.039746000000008,republican,1,republican
2004,Nebraska,31.525627000000004,-29.4895,republican,1,republican
2004,Nevada,45.188758,-5.137164999999996,republican,1,republican
2004,New Hampshire,48.624872,2.172914999999996,republican,1,democrat
2004,New Jersey,48.995247,7.192073999999998,republican,1,democrat
2004,New Mexico,44.911481,-3.5184909999999974,republican,1,republican
2004,New York,54.340684,16.186413999999992,republican,1,democrat
2004,North Carolina,43.381614,-8.255886000000004,republican,1,republican
2004,North Dakota,33.772825,-24.769924000000003,republican,1,republican
2004,Ohio,47.973979,0.0381309999999999,republican,1,republican
2004,Oklahoma,32.688553000000006,-29.48949199999999,republican,1,republican
2004,Oregon,50.530961,5.249132000000003,republican,1,democrat
2004,Pennsylvania,48.729059,1.3633819999999943,republican,1,democrat
2004,Rhode Island,54.849934,18.491643999999997,republican,1,democrat
2004,South Carolina,39.155158,-15.744028,republican,1,republican
2004,South Dakota,37.609466,-16.754250000000006,republican,1,republican
2004,Tennessee,42.342747,-12.051133000000007,republican,1,republican
2004,Texas,35.652891,-22.840407,republican,1,republican
2004,Utah,24.109276,-44.190671,republican,1,republican
2004,Vermont,49.357665,9.208290000000003,republican,1,democrat
2004,Virginia,43.916727,-5.850401999999995,republican,1,republican
2004,Washington,51.681792,6.324989000000002,republican,1,democrat
2004,West Virginia,44.495975,-6.323636999999998,republican,1,republican
2004,Wisconsin,46.387916,-1.7171220000000034,republican,1,democrat
2008,Alabama,35.858475,-22.424064,republican,0,republican
2008,Alaska,41.419908,-14.184433000000006,republican,0,republican
2008,Arizona,45.233846,-4.139692000000004,republican,0,republican
2008,Arkansas,42.823934,-9.101824999999998,republican,0,republican
2008,California,57.522385,22.32009,republican,0,democrat
2008,Colorado,51.302013,6.846433000000005,republican,0,democrat
2008,Connecticut,56.510289,20.222026,republican,0,democrat
2008,Delaware,59.585339000000005,24.241347000000005,republican,0,democrat
2008,Florida,48.108337,1.4875830000000008,republican,0,democrat
2008,Georgia,45.796409,-4.263896999999993,republican,0,republican
2008,Hawaii,59.752297,26.697252,republican,0,democrat
2008,Idaho,32.100732,-28.161555,republican,0,republican
2008,Illinois,59.354164,22.561789000000005,republican,0,democrat
2008,Indiana,47.005797,-1.0016350000000074,republican,0,democrat
2008,Iowa,52.852666000000006,12.831879000000008,republican,0,democrat
2008,Kansas,38.483246,-16.714812999999992,republican,0,republican
2008,Kentucky,41.070429,-12.442097000000004,republican,0,republican
2008,Louisiana,41.531393,-10.611548,republican,0,republican
2008,Maine,55.215782,16.10917299999999,republican,0,democrat
2008,Maryland,58.011276,20.563285000000008,republican,0,democrat
2008,Massachusetts,56.361476,18.349676,republican,0,democrat
2008,Michigan,53.70322,13.228950999999997,republican,0,democrat
2008,Minnesota,52.376347,10.606981999999997,republican,0,democrat
2008,Mississippi,41.028078,-11.106308999999996,republican,0,republican
2008,Missouri,47.35975,-1.0068320000000028,republican,0,republican
2008,Montana,44.86544,-5.089860000000002,republican,0,republican
2008,Nebraska,37.480707,-19.037500999999992,republican,0,republican
2008,Nevada,50.390004,5.449928,republican,0,democrat
2008,New Hampshire,52.275229,10.795266999999996,republican,0,democrat
2008,New Jersey,54.871929,16.801347,republican,0,democrat
2008,New Mexico,53.42745,9.788864000000004,republican,0,democrat
